,work_dir,train_file,valid_file,img_folder,log_dir,saver_directory,valid_imgs_dir,valid_result_dir,restore_param_file,data_state,img_aug,num_joints,remove_joints,point_names,scale,category,init,name,nfeats,tiny,dropout_rate,l2,is_train,batch_size,nepochs,learning_rate,learning_rate_decay,decay_step,weighted_loss,summary_interval,saver_interval,valid_interval,pck_threshold,mean_pck,mean_diff_per_pt,pck100,diff_per_pt
0,/home/yichenhe/plumage/,/home/yichenhe/plumage/expert_data/coords_patches/train_expert_data.csv,/home/yichenhe/plumage/expert_data/coords_patches/valid_expert_data.csv,/home/yichenhe/plumage/expert_data/Images/,/home/yichenhe/plumage/log/cpm,/home/yichenhe/plumage/params/cpm/,/home/yichenhe/plumage/expert_data/validation_result/,/home/yichenhe/plumage/result/hourglass/,/home/yichenhe/plumage/params/hourglass/hg_plumage_back_2,coords,False,16,None,"['standard_1', 'standard_2', 'standard_3', 'standard_4', 'standard_5', 'crown', 'nape', 'mantle', 'rump', 'tail_back', 'throat', 'breast', 'belly', 'tail_belly', 'wing_coverts', 'wing_primaries']",10,None,True,CPM_all,512,False,0.0,0.0,True,5,1,0.0001,0.95,1000,False,10,1,1,100,0.1221,1151.9387,"[0.     0.     0.     0.78   0.88   0.     0.     0.     0.     0.
 0.1176 0.1765 0.     0.     0.     0.    ]","[2220.9762  332.083   756.8543  136.2535   85.6169 1437.8926 1794.7764
 2379.6059 1504.7605 1291.1263  539.7613  737.9114  865.8118 1599.5533
 1291.0472 1456.9889]"
1,/home/yichenhe/plumage/,/home/yichenhe/plumage/expert_data/coords_patches/train_expert_data.csv,/home/yichenhe/plumage/expert_data/coords_patches/valid_expert_data.csv,/home/yichenhe/plumage/expert_data/Images/,/home/yichenhe/plumage/log/cpm,/home/yichenhe/plumage/params/cpm/,/home/yichenhe/plumage/expert_data/validation_result/,/home/yichenhe/plumage/result/hourglass/,/home/yichenhe/plumage/params/hourglass/hg_plumage_back_2,coords,False,16,None,"['standard_1', 'standard_2', 'standard_3', 'standard_4', 'standard_5', 'crown', 'nape', 'mantle', 'rump', 'tail_back', 'throat', 'breast', 'belly', 'tail_belly', 'wing_coverts', 'wing_primaries']",20,None,True,CPM_all_all,512,False,0.0,0.0,True,5,1,0.0001,0.95,1000,False,10,1,1,100,0.0564,542.0293,"[0.     0.     0.18   0.1    0.14   0.     0.     0.0556 0.     0.
 0.     0.2941 0.     0.     0.1333 0.    ]","[ 484.0452  490.2587  188.0552  189.8674  206.9954  759.8625  748.6059
  354.7218  688.139   843.4337  441.8537  230.0088  408.7828  485.373
  446.6803 1705.7854]"
